,CommitCommentEvent,CreateEvent,DeleteEvent,DownloadEvent,FollowEvent,ForkEvent,GistEvent,GollumEvent,IssueCommentEvent,IssuesEvent,MemberEvent,PublicEvent,PullRequestEvent,PullRequestReviewCommentEvent,PushEvent,ReleaseEvent,WatchEvent
2013-01-01,878.0,10770.0,618.0,8.0,2009.0,3712.0,449.0,2046.0,9450.0,7176.0,441.0,87.0,2472.0,396.0,47997.0,,9662.0
2013-01-02,1491.0,16367.0,1088.0,15.0,3175.0,5765.0,779.0,2738.0,13098.0,8067.0,792.0,140.0,5088.0,1246.0,73343.0,,15956.0
2013-01-03,1744.0,29179.0,1112.0,240.0,4606.0,6490.0,936.0,3117.0,13720.0,8033.0,895.0,159.0,5674.0,1410.0,78656.0,,15835.0
2013-01-04,1606.0,17347.0,1168.0,106.0,4210.0,6063.0,763.0,3268.0,13955.0,9859.0,798.0,140.0,5727.0,1260.0,75899.0,,15683.0
2013-01-05,983.0,13919.0,808.0,20.0,2771.0,4829.0,707.0,2345.0,8804.0,5928.0,614.0,97.0,3303.0,720.0,59961.0,,12232.0
2013-01-06,1269.0,14513.0,832.0,54.0,2748.0,4992.0,746.0,2410.0,9610.0,6587.0,647.0,98.0,3480.0,812.0,65854.0,,12703.0
2013-01-07,1860.0,20196.0,1299.0,44.0,4178.0,6983.0,615.0,3587.0,16556.0,9409.0,1079.0,191.0,6388.0,1803.0,85555.0,,16806.0
2013-01-08,1918.0,20978.0,1464.0,81.0,5045.0,6954.0,821.0,3397.0,17261.0,10001.0,1071.0,172.0,6602.0,1375.0,89946.0,,17527.0
2013-01-09,2078.0,20759.0,1417.0,106.0,4608.0,7452.0,814.0,3271.0,18877.0,10887.0,1057.0,170.0,7154.0,1809.0,92364.0,,17321.0
2013-01-10,1842.0,21350.0,1555.0,76.0,4878.0,7283.0,790.0,3217.0,19639.0,11901.0,1254.0,175.0,7285.0,1647.0,92467.0,,16300.0
2013-01-11,1690.0,18752.0,1272.0,64.0,3545.0,6512.0,651.0,3083.0,15506.0,14473.0,1015.0,163.0,6685.0,1516.0,82633.0,,14558.0
2013-01-12,1147.0,14154.0,909.0,50.0,2492.0,4669.0,599.0,2634.0,10033.0,7301.0,726.0,102.0,3660.0,778.0,63789.0,,10891.0
2013-01-13,1183.0,16764.0,1097.0,43.0,2850.0,5525.0,562.0,2740.0,10460.0,7134.0,744.0,109.0,4284.0,872.0,74826.0,,12295.0
2013-01-14,1971.0,21052.0,1465.0,22.0,7605.0,7389.0,1309.0,3571.0,17259.0,9469.0,1193.0,177.0,7477.0,1804.0,94519.0,,17546.0
2013-01-15,1763.0,22091.0,1557.0,65.0,4780.0,7746.0,1000.0,3300.0,18360.0,10846.0,1274.0,197.0,7286.0,1767.0,96224.0,,17908.0
2013-01-16,1794.0,22084.0,1532.0,89.0,4420.0,7498.0,1256.0,3730.0,16781.0,9962.0,1171.0,154.0,7467.0,1899.0,94451.0,,18198.0
2013-01-17,1883.0,21674.0,1609.0,89.0,4363.0,7863.0,1099.0,3285.0,21214.0,15381.0,1183.0,147.0,7031.0,1888.0,94882.0,,18501.0
2013-01-18,1741.0,19140.0,1323.0,60.0,3563.0,6759.0,936.0,2852.0,15750.0,9677.0,1227.0,230.0,6386.0,1392.0,84532.0,,15975.0
2013-01-19,1230.0,14771.0,1000.0,13.0,2846.0,4820.0,734.0,2257.0,9475.0,6376.0,877.0,96.0,3731.0,845.0,67373.0,,12125.0
2013-01-20,1202.0,16492.0,971.0,32.0,3131.0,5248.0,631.0,2563.0,10804.0,7163.0,723.0,107.0,4022.0,707.0,74158.0,,14102.0
2013-01-21,1897.0,21034.0,1424.0,21.0,3869.0,7059.0,1069.0,3332.0,16625.0,10073.0,1195.0,149.0,6875.0,1610.0,93863.0,,17307.0
2013-01-22,1856.0,23107.0,1563.0,15.0,4694.0,7870.0,925.0,3703.0,18068.0,11134.0,1294.0,185.0,7476.0,1560.0,97702.0,,18834.0
2013-01-23,1937.0,24710.0,1613.0,24.0,5116.0,8348.0,1027.0,4457.0,18483.0,11099.0,1370.0,154.0,7859.0,1875.0,99622.0,,19787.0
2013-01-24,2246.0,23556.0,1451.0,7.0,5054.0,8568.0,992.0,3860.0,17884.0,9971.0,1297.0,196.0,7544.0,1856.0,100069.0,,20566.0
2013-01-25,1602.0,20661.0,1455.0,11.0,4205.0,6920.0,933.0,3254.0,15471.0,8933.0,1459.0,178.0,6862.0,1494.0,89942.0,,17532.0
2013-01-26,1045.0,16422.0,1076.0,10.0,3134.0,5321.0,719.0,2310.0,11504.0,11529.0,995.0,104.0,4280.0,640.0,76196.0,,13046.0
2013-01-27,1412.0,17601.0,965.0,15.0,3976.0,5690.0,683.0,2763.0,12351.0,8661.0,852.0,115.0,4371.0,854.0,81089.0,,14753.0
2013-01-28,2146.0,23273.0,1589.0,12.0,4678.0,8050.0,873.0,3864.0,18349.0,10942.0,1419.0,178.0,7553.0,1473.0,98993.0,,19777.0
2013-01-29,2001.0,23889.0,1588.0,16.0,5367.0,8097.0,980.0,3595.0,19051.0,12287.0,1620.0,190.0,7790.0,1931.0,102662.0,,19886.0
2013-01-30,2081.0,24340.0,1707.0,9.0,4745.0,8086.0,811.0,4222.0,18957.0,11126.0,1450.0,187.0,8026.0,2084.0,110315.0,,20408.0
2013-01-31,1836.0,23947.0,1565.0,7.0,5338.0,7523.0,936.0,4190.0,19381.0,11543.0,1495.0,144.0,7625.0,1996.0,110273.0,,20501.0
2013-02-01,1731.0,21270.0,1417.0,155.0,4070.0,6376.0,1001.0,3343.0,15758.0,8964.0,1347.0,162.0,6689.0,1320.0,86660.0,,18159.0
2013-02-02,1334.0,16038.0,925.0,19.0,3330.0,5251.0,667.0,2357.0,11115.0,7993.0,880.0,111.0,4086.0,642.0,69078.0,,12458.0
2013-02-03,1199.0,17420.0,1084.0,16.0,3517.0,5396.0,548.0,2805.0,12432.0,8719.0,793.0,122.0,4240.0,679.0,76926.0,,14694.0
2013-02-04,1908.0,23335.0,1549.0,16.0,4850.0,7479.0,977.0,3879.0,18920.0,12729.0,1598.0,180.0,7447.0,1783.0,98911.0,,19777.0
2013-02-05,2174.0,24145.0,1576.0,15.0,4552.0,7848.0,902.0,3645.0,18122.0,10573.0,1661.0,211.0,7635.0,1849.0,100235.0,,20714.0
2013-02-06,2265.0,23235.0,1635.0,33.0,5036.0,7760.0,868.0,3342.0,20019.0,14839.0,1463.0,199.0,7926.0,1812.0,99344.0,,19921.0
2013-02-07,2256.0,23139.0,1635.0,50.0,4298.0,7466.0,1119.0,3109.0,21700.0,13779.0,1467.0,182.0,7543.0,2049.0,98661.0,,19784.0
2013-02-08,1799.0,19986.0,1524.0,17.0,3882.0,6302.0,972.0,3124.0,20100.0,11873.0,1224.0,156.0,7002.0,1607.0,88411.0,,16589.0
2013-02-09,1261.0,14583.0,900.0,10.0,2762.0,4534.0,634.0,2035.0,11284.0,7424.0,827.0,102.0,4122.0,795.0,67654.0,,11339.0
2013-02-10,1516.0,16310.0,1089.0,15.0,2641.0,4857.0,696.0,2429.0,16541.0,31417.0,761.0,133.0,4407.0,1008.0,77338.0,,12677.0
2013-02-11,1980.0,22461.0,1594.0,8.0,3909.0,6947.0,996.0,3127.0,18074.0,10506.0,1390.0,210.0,7533.0,2133.0,97603.0,,17611.0
2013-02-12,2150.0,24259.0,1645.0,16.0,4135.0,6987.0,99435.0,3327.0,21246.0,12202.0,1260.0,188.0,7477.0,2093.0,96991.0,,17698.0
