,Name,Location,Type,Latitude,Longitude,Elevation (m)
5,Adams  Seamount,Pacific-C,Submarine Volcano,-25.37,-129.27,-39.0
14,Ahyi,Mariana Is-C Pacific,Submarine Volcano,20.42,145.03,-137.0
97,Axial Seamount,Pacific-NE,Submarine Volcano,45.95,-130.0,-1410.0
124,Banua Wuhu,Sangihe Is-Indonesia,Submarine Volcano,3.14,125.49,-5.0
136,Bayonnaise Rocks,Izu Is-Japan,Submarine Volcano,31.88,139.92,11.0
167,Bogoslof,Aleutian  Is,Submarine Volcano,53.93,-168.03,150.0
175,Boomerang Seamount,Indian  O.-S,Submarine Volcano,-37.72,77.83,-650.0
189,Brothers,New  Zealand,Submarine Volcano,-34.88,179.08,-1350.0
212,Campi Flegrei Mar Sicilia,Italy,Submarine Volcano,37.1,12.7,-8.0
224,"Cendres, Ile des",SE  Asia,Submarine Volcano,10.16,109.01,-20.0
256,Clark,New  Zealand,Submarine Volcano,-36.45,177.84,-860.0
258,Cleft Segment,Pacific-NE,Submarine Volcano,44.83,-130.3,-2140.0
261,CoAxial Segment,Pacific-NE,Submarine Volcano,46.52,-129.58,-2400.0
262,Cobb Segment,Pacific-NE,Submarine Volcano,46.88,-129.33,-2100.0
300,Curacoa,Tonga-SW  Pacific,Submarine Volcano,-15.62,-173.67,-33.0
301,Curtis Island,Kermadec Is,Submarine Volcano,-30.54,-178.56,137.0
305,Daikoku,Volcano Is-Japan,Submarine Volcano,21.32,144.19,-323.0
338,Don Joao de Castro Bank,Azores,Submarine Volcano,38.23,-26.63,-13.0
342,Doyo Seamount,Izu Is-Japan,Submarine Volcano,27.68,140.8,-860.0
351,East  Diamante,Mariana Is-C Pacific,Submarine Volcano,15.93,145.67,-127.0
354,Eastern Gemini Seamount,SW Pacific,Submarine Volcano,-20.98,170.28,-80.0
369,Emperor  of China,Banda Sea,Submarine Volcano,-6.62,124.22,-2850.0
371,Endeavour  Ridge,Pacific-NE,Submarine Volcano,47.95,-129.1,-2050.0
378,Escanaba Segment,Pacific-NE,Submarine Volcano,40.98,-127.5,-1700.0
381,Esmeralda  Bank,Mariana Is-C Pacific,Submarine Volcano,15.0,145.25,-43.0
386,Falcon Island,Tonga-SW  Pacific,Submarine Volcano,-20.32,-175.42,-17.0
412,Fukujin,Volcano  Is-Japan,Submarine Volcano,21.93,143.47,-217.0
413,Fukutoku-Okanoba,Volcano Is-Japan,Submarine Volcano,24.28,141.49,-14.0
419,Galápagos  Rift,Pacific-E,Submarine Volcano,0.79,-86.15,-2430.0
438,Giggenbach,Kermadec Is,Submarine Volcano,-30.04,-178.71,-65.0
490,Healy,New Zealand,Submarine Volcano,-35.0,178.97,980.0
506,Home Reef,Tonga-SW Pacific,Submarine Volcano,-18.99,-174.78,-2.0
521,Hunga  Tonga-Hunga Ha'apai,Tonga-SW Pacific,Submarine Volcano,-20.57,-175.38,149.0
556,Iriomote-jima,Ryukyu Is,Submarine Volcano,24.56,124.0,-200.0
593,Kaikata Seamount,Volcano  Is-Japan,Submarine Volcano,26.67,141.0,-162.0
596,Kaitoku Seamount,Volcano Is-Japan,Submarine Volcano,26.12,141.1,-103.0
600,Kana Keoki,Solomon Is-SW Pacific,Submarine Volcano,-8.75,157.03,-700.0
618,Kasuga,Volcano Is-Japan,Submarine Volcano,21.77,143.71,-598.0
623,Kavachi,Solomon  Is-SW Pacific,Submarine Volcano,-9.02,157.95,-20.0
642,Kick 'em Jenny,W Indies,Submarine Volcano,12.3,-61.64,-185.0
652,Kita-Fukutokutai,Volcano Is-Japan,Submarine Volcano,24.41,141.42,-73.0
659,Kolbeinsey Ridge,Iceland-N  of,Submarine Volcano,66.67,-18.5,5.0
695,Kurose Hole,Izu  Is-Japan,Submarine Volcano,33.4,139.68,-107.0
741,Loihi,Hawaiian Is,Submarine Volcano,18.92,-155.27,-975.0
764,Macdonald,Austral Is-C Pacific,Submarine Volcano,-28.98,-140.25,-39.0
841,Metis Shoal,Tonga-SW Pacific,Submarine Volcano,-19.18,-174.87,43.0
850,Minami  Kasuga,Volcano Is-Japan,Submarine Volcano,21.6,143.64,-274.0
851,Minami-Hiyoshi,Volcano Is-Japan,Submarine Volcano,23.5,141.94,-30.0
860,Mokuyo  Seamount,Izu Is-Japan,Submarine Volcano,28.32,140.57,-920.0
863,Monaco Bank,Azores,Submarine Volcano,37.6,-25.88,-197.0
866,Monowai Seamount,Kermadec Is,Submarine Volcano,-25.89,-177.19,-100.0
870,Moua  Pihaa,Society Is-C Pacific,Submarine Volcano,-18.32,-148.67,-160.0
879,Myojin Knoll,Izu Is-Japan,Submarine Volcano,32.1,139.85,360.0
909,Nieuwerkerk,Banda Sea,Submarine Volcano,-6.6,124.68,-2285.0
912,Nikko,Volcano Is-Japan,Submarine Volcano,23.08,142.31,-391.0
921,North Gorda Ridge,Pacific-NE,Submarine Volcano,42.67,-126.78,-3000.0
925,Northern EPR-Segment RO2,Pacific-E,Submarine Volcano,16.55,-105.32,-2700.0
926,Northern  EPR-Segment RO3,Pacific-E,Submarine Volcano,15.83,-105.43,-2300.0
932,NW  Eifuku,Volcano Is-Japan,Submarine Volcano,21.49,144.04,-1535.0
933,NW Rota-1,Mariana Is-C Pacific,Submarine Volcano,14.6,144.78,-517.0
1006,Piip,Kamchatka-E of,Submarine Volcano,55.42,167.33,-300.0
1031,Protector Shoal,Antarctica,Submarine Volcano,-55.92,-28.08,-27.0
1069,Reykjaneshryggur,Iceland-SW,Submarine Volcano,63.67,-23.33,80.0
1078,Rocard,Society Is-C Pacific,Submarine Volcano,-17.64,-148.6,-2100.0
1086,Ruby,Mariana Is-C Pacific,Submarine Volcano,15.62,145.57,-230.0
1089,Rumble II West,New  Zealand,Submarine Volcano,-35.35,178.53,1200.0
1090,Rumble III,New Zealand,Submarine Volcano,-35.75,178.48,-220.0
1091,Rumble IV,New  Zealand,Submarine Volcano,-36.13,178.05,500.0
1092,Rumble V,New Zealand,Submarine Volcano,-36.14,178.2,400.0
1149,Seamount  X,Mariana Is-C Pacific,Submarine Volcano,13.25,144.02,-1230.0
1195,Smith  Rock,Izu Is-Japan,Submarine Volcano,31.44,140.05,136.0
1217,Southern  EPR-Segment I,Pacific-E,Submarine Volcano,-18.53,-113.42,-2600.0
1218,Southern EPR-Segment J,Pacific-E,Submarine Volcano,-18.18,-113.35,-2650.0
