Variable code,,1110101,1110102,1110103,1110104,1110105,1110106,1110201,1110202,1110203,1110204,1110205,1110206,1110301,1110302,1110303,1110304,1110305,1110306,1110401,1110402,1110403,1110404,1110501,1110502,1110503,1110504,1110601,1110603,1110604,1110701,1110702,1110703,1110704,1110801,1110901,1111001,1120101,1120102,1120103,1120104,1120201,1120202,1120203,1120204,1120301,1120302,1120303,1120304,1120401,1120402,1120403,1120404,1120501,1120503,1120504,1120601,1120603,1120604,1120701,1120702,1120703,1120704,1210101,1210102,1210201,1210202,1210301,1210302,1210401,1210402,1210501,1210502,1210601,1210701,1210702,1220101,1220102,1220201,1220202,1220301,1220302,1220401,1220402,1220501,1220601,1220701,1220702,1310302,1310303,1320101,1320201,1320301,1320401,1320501,1320601,1410101,2110101,2110102,2110103,2110104,2110105,2110106,2110107,2110108,2110109,2110110,2110111,2110112,2110113,2110114,2110115,2110116,2110117,2110201,2110202,2110203,2110204,2110205,2110206,2110207,2110208,2110209,2110210,2110211,2110212,2110213,2110214,2110215,2110216,2110217,2110301,2110302,2110303,2110304,2110305,2110306,2110307,2110308,2110309,2110310,2110311,2110312,2110313,2110314,2110315,2110316,2110317,2110401,2110402,2110403,2110404,2110405,2110406,2110407,2110408,2110409,2110410,2110411,2110412,2110413,2110414,2110415,2110416,2110417,2110501,2110502,2110503,2110504,2110505,2110506,2110507,2110508,2110509,2110510,2110511,2110512,2110513,2110514,2110515,2110516,2110517,2110601,2110602,2110603,2110604,2110605,2110606,2110607,2110608,2110609,2110610,2110611,2110612,2110613,2110614,2110617,2120101,2120103,2120104,2120105,2120106,2120107,2120108,2120109,2120110,2120111,2120112,2120113,2120114,2120117,2120201,2120203,2120204,2120205,2120206,2120207,2120208,2120209,2120210,2120211,2120212,2120213,2120214,2120217,2120301,2120303,2120304,2120305,2120306,2120307,2120308,2120309,2120310,2120311,2120312,2120313,2120314,2120317,2120401,2120403,2120404,2120405,2120406,2120407,2120408,2120409,2120410,2120411,2120412,2120413,2120414,2120417,2120501,2120503,2120504,2120505,2120506,2120507,2120508,2120509,2120510,2120511,2120512,2120513,2120514,2120517,2210101,2210201,2210301,2210401,2210501,2210601,2220101,2220201,2220301,2220401,2220501,2310101,2310201,2310301,2310401,2310501,2310601,2320101,2320201,2320301,2320401,2320501,3100101,3100201,3100202,3100203,3100301,4100101,4100102,4200101,5100101,6100101,6100102,6100103,6100104,6100201,6100301,6210101,6210102,6210103,6210104,6210201,6210202,6210203,6210204,6210301,6210302,6210303,6210304,6210401,6210402,6210403,6210404,6210501,6210502,6210503,6210504,6210601,6210602,6210603,6210604,6210701,6210702,6210703,6210704,6210801,6210901,6211001,6220101,6220102,6220103,6220104,6220201,6220202,6220203,6220204,6220301,6220302,6220303,6220304,6220401,6220402,6220403,6220404,6220501,6220502,6220503,6220504,6220601,6220701,6230101,6230102,6230103,6230104,6230201,6230202,6230203,6230204,6230301,6230302,6230303,6230304,6230401,6230402,6230403,6230404,6230501,6230502,6230503,6230504,6230601,6230602,6230603,6230604,6230701,6310101,6310201,6310301,6310401,6310501,6310601,6310701,6320101,6320201,6320301,6320401,6320501,6330101,6330201,6330301,6330401,6330501,6330601,7100101,7100201
Country,Year,Top 10% income share,Top 10% income share-LAD,Top 10% income share-married couples & single adults,Top 10% income share-adults,Top 10% income share-tax data,Top 10% income share-IDS,Top 5% income share,Top 5% income share-LAD,Top 5% income share-married couples & single adults,Top 5% income share-adults,Top 5% income share-tax data,Top 5% income share-IDS,Top 1% income share,Top 1% income share-LAD,Top 1% income share-married couples & single adults,Top 1% income share-adults,Top 1% income share-tax data,Top 1% income share-IDS,Top 0.5% income share,Top 0.5% income share-LAD,Top 0.5% income share-married couples & single adults,Top 0.5% income share-adults,Top 0.1% income share,Top 0.1% income share-LAD,Top 0.1% income share-married couples & single adults,Top 0.1% income share-adults,Top 0.05% income share,Top 0.05% income share-married couples & single adults,Top 0.05% income share-adults,Top 0.01% income share,Top 0.01% income share-LAD,Top 0.01% income share-married couples & single adults,Top 0.01% income share-adults,Top 0.25% income share,Top 0.15% income share,Top 0.005% income share,Top 10-5% income share,Top 10-5% income share-LAD,Top 10-5% income share-married couples & single adults,Top 10-5% income share-adults,Top 5-1% income share,Top 5-1% income share-LAD,Top 5-1% income share-married couples & single adults,Top 5-1% income share-adults,Top 1-0.5% income share,Top 1-0.5% income share-LAD,Top 1-0.5% income share-married couples & single adults,Top 1-0.5% income share-adults,Top 0.5-0.1% income share,Top 0.5-0.1% income share-LAD,Top 0.5-0.1% income share-married couples & single adults,Top 0.5-0.1% income share-adults,Top 0.1-0.05% income share,Top 0.1-0.05% income share-married couples & single adults,Top 0.1-0.05% income share-adults,Top 0.05-0.01% income share,Top 0.05-0.01% income share-married couples & single adults,Top 0.05-0.01% income share-adults,Top 0.1-0.01% income share,Top 0.1-0.01% income share-LAD,Top 0.1-0.01% income share-married couples & single adults,Top 0.1-0.01% income share-adults,Top 10% income share-including capital gains,Top 10% income share-including capital gains-LAD,Top 5% income share-including capital gains,Top 5% income share-including capital gains-LAD,Top 1% income share-including capital gains,Top 1% income share-including capital gains-LAD,Top 0.5% income share-including capital gains,Top 0.5% income share-including capital gains-LAD,Top 0.1% income share-including capital gains,Top 0.1% income share-including capital gains-LAD,Top 0.05% income share-including capital gains,Top 0.01% income share-including capital gains,Top 0.01% income share-including capital gains-LAD,Top 10-5% income share-including capital gains,Top 10-5% income share-including capital gains-LAD,Top 5-1% income share-including capital gains,Top 5-1% income share-including capital gains-LAD,Top 1-0.5% income share-including capital gains,Top 1-0.5% income share-including capital gains-LAD,Top 0.5-0.1% income share-including capital gains,Top 0.5-0.1% income share-including capital gains-LAD,Top 0.1-0.05% income share-including capital gains,Top 0.05-0.01% income share-including capital gains,Top 0.1-0.01% income share-including capital gains,Top 0.1-0.01% income share-including capital gains-LAD,Top 1% income share-net of income tax-married couples & single adults,Top 1% income share-net of income tax-adults,Top 10% income share incl. K gains-net of income tax,Top 5% income share incl. K gains-net of income tax,Top 1% income share incl. K gains-net of income tax,Top 0.5% income share incl. K gains-net of income tax,Top 0.1% income share incl. K gains-net of income tax,Top 0.01% income share incl. K gains-net of income tax,Income reduction as a result of income tax (Top 1%),"Top 10% income composition-Wages, salaries and pensions",Top 10% income composition-Non-wage income,Top 10% income composition-Professional income,Top 10% income composition-Business income,Top 10% income composition-Dividends,Top 10% income composition-Interest Income,Top 10% income composition-Investment income,Top 10% income composition-Capital income,Top 10% income composition-Farming income,"Top 10% income composition-Business income (industry, commerce)",Top 10% income composition-Non-commercial business income,Top 10% income composition-Rents,Top 10% income composition-Self-employment income,Top 10% income composition-Entrepreneurial income,Top 10% income composition-Property income,Top 10% income composition-Other,Top 10% income composition-Capital gains,"Top 5% income composition-Wages, salaries and pensions",Top 5% income composition-Non-wage income,Top 5% income composition-Professional income,Top 5% income composition-Business income,Top 5% income composition-Dividends,Top 5% income composition-Interest Income,Top 5% income composition-Investment income,Top 5% income composition-Capital income,Top 5% income composition-Farming income,"Top 5% income composition-Business income (industry, commerce)",Top 5% income composition-Non-commercial business income,Top 5% income composition-Rents,Top 5% income composition-Self-employment income,Top 5% income composition-Entrepreneurial income,Top 5% income composition-Property income,Top 5% income composition-Other,Top 5% income composition-Capital gains,"Top 1% income composition-Wages, salaries and pensions",Top 1% income composition-Non-wage income,Top 1% income composition-Professional income,Top 1% income composition-Business income,Top 1% income composition-Dividends,Top 1% income composition-Interest Income,Top 1% income composition-Investment income,Top 1% income composition-Capital income,Top 1% income composition-Farming income,"Top 1% income composition-Business income (industry, commerce)",Top 1% income composition-Non-commercial business income,Top 1% income composition-Rents,Top 1% income composition-Self-employment income,Top 1% income composition-Entrepreneurial income,Top 1% income composition-Property income,Top 1% income composition-Other,Top 1% income composition-Capital gains,"Top 0.5% income composition-Wages, salaries and pensions",Top 0.5% income composition-Non-wage income,Top 0.5% income composition-Professional income,Top 0.5% income composition-Business income,Top 0.5% income composition-Dividends,Top 0.5% income composition-Interest Income,Top 0.5% income composition-Investment income,Top 0.5% income composition-Capital income,Top 0.5% income composition-Farming income,"Top 0.5% income composition-Business income (industry, commerce)",Top 0.5% income composition-Non-commercial business income,Top 0.5% income composition-Rents,Top 0.5% income composition-Self-employment income,Top 0.5% income composition-Entrepreneurial income,Top 0.5% income composition-Property income,Top 0.5% income composition-Other,Top 0.5% income composition-Capital gains,"Top 0.1% income composition-Wages, salaries and pensions",Top 0.1% income composition-Non-wage income,Top 0.1% income composition-Professional income,Top 0.1% income composition-Business income,Top 0.1% income composition-Dividends,Top 0.1% income composition-Interest Income,Top 0.1% income composition-Investment income,Top 0.1% income composition-Capital income,Top 0.1% income composition-Farming income,"Top 0.1% income composition-Business income (industry, commerce)",Top 0.1% income composition-Non-commercial business income,Top 0.1% income composition-Rents,Top 0.1% income composition-Self-employment income,Top 0.1% income composition-Entrepreneurial income,Top 0.1% income composition-Property income,Top 0.1% income composition-Other,Top 0.1% income composition-Capital gains,"Top 0.01% income composition-Wages, salaries and pensions",Top 0.01% income composition-Non-wage income,Top 0.01% income composition-Professional income,Top 0.01% income composition-Business income,Top 0.01% income composition-Dividends,Top 0.01% income composition-Interest Income,Top 0.01% income composition-Investment income,Top 0.01% income composition-Capital income,Top 0.01% income composition-Farming income,"Top 0.01% income composition-Business income (industry, commerce)",Top 0.01% income composition-Non-commercial business income,Top 0.01% income composition-Rents,Top 0.01% income composition-Self-employment income,Top 0.01% income composition-Entrepreneurial income,Top 0.01% income composition-Capital gains,"Top 10-5% income composition-Wages, salaries and pensions",Top 10-5% income composition-Professional income,Top 10-5% income composition-Business income,Top 10-5% income composition-Dividends,Top 10-5% income composition-Interest Income,Top 10-5% income composition-Investment income,Top 10-5% income composition-Capital income,Top 10-5% income composition-Farming income,"Top 10-5% income composition-Business income (industry, commerce)",Top 10-5% income composition-Non-commercial business income,Top 10-5% income composition-Rents,Top 10-5% income composition-Self-employment income,Top 10-5% income composition-Entrepreneurial income,Top 10-5% income composition-Capital gains,"Top 5-1% income composition-Wages, salaries and pensions",Top 5-1% income composition-Professional income,Top 5-1% income composition-Business income,Top 5-1% income composition-Dividends,Top 5-1% income composition-Interest Income,Top 5-1% income composition-Investment income,Top 5-1% income composition-Capital income,Top 5-1% income composition-Farming income,"Top 5-1% income composition-Business income (industry, commerce)",Top 5-1% income composition-Non-commercial business income,Top 5-1% income composition-Rents,Top 5-1% income composition-Self-employment income,Top 5-1% income composition-Entrepreneurial income,Top 5-1% income composition-Capital gains,"Top 1-0.5% income composition-Wages, salaries and pensions",Top 1-0.5% income composition-Professional income,Top 1-0.5% income composition-Business income,Top 1-0.5% income composition-Dividends,Top 1-0.5% income composition-Interest Income,Top 1-0.5% income composition-Investment income,Top 1-0.5% income composition-Capital income,Top 1-0.5% income composition-Farming income,"Top 1-0.5% income composition-Business income (industry, commerce)",Top 1-0.5% income composition-Non-commercial business income,Top 1-0.5% income composition-Rents,Top 1-0.5% income composition-Self-employment income,Top 1-0.5% income composition-Entrepreneurial income,Top 1-0.5% income composition-Capital gains,"Top 0.5-0.1% income composition-Wages, salaries and pensions",Top 0.5-0.1% income composition-Professional income,Top 0.5-0.1% income composition-Business income,Top 0.5-0.1% income composition-Dividends,Top 0.5-0.1% income composition-Interest Income,Top 0.5-0.1% income composition-Investment income,Top 0.5-0.1% income composition-Capital income,Top 0.5-0.1% income composition-Farming income,"Top 0.5-0.1% income composition-Business income (industry, commerce)",Top 0.5-0.1% income composition-Non-commercial business income,Top 0.5-0.1% income composition-Rents,Top 0.5-0.1% income composition-Self-employment income,Top 0.5-0.1% income composition-Entrepreneurial income,Top 0.5-0.1% income composition-Capital gains,"Top 0.1-0.01% income composition-Wages, salaries and pensions",Top 0.1-0.01% income composition-Professional income,Top 0.1-0.01% income composition-Business income,Top 0.1-0.01% income composition-Dividends,Top 0.1-0.01% income composition-Interest Income,Top 0.1-0.01% income composition-Investment income,Top 0.1-0.01% income composition-Capital income,Top 0.1-0.01% income composition-Farming income,"Top 0.1-0.01% income composition-Business income (industry, commerce)",Top 0.1-0.01% income composition-Non-commercial business income,Top 0.1-0.01% income composition-Rents,Top 0.1-0.01% income composition-Self-employment income,Top 0.1-0.01% income composition-Entrepreneurial income,Top 0.1-0.01% income composition-Capital gains,Top 10% capital gains (a),Top 5% capital gains (a),Top 1% capital gains (a),Top 0.5% capital gains (a),Top 0.1% capital gains (a),Top 0.01% capital gains (a),Top 10-5% capital gains (a),Top 5-1% capital gains (a),Top 1-0.5% capital gains (a),Top 0.5-0.1% capital gains (a),Top 0.1-0.01% capital gains (a),Top 10% capital gains (b),Top 5% capital gains (b),Top 1% capital gains (b),Top 0.5% capital gains (b),Top 0.1% capital gains (b),Top 0.01% capital gains (b),Top 10-5% capital gains (b),Top 5-1% capital gains (b),Top 1-0.5% capital gains (b),Top 0.5-0.1% capital gains (b),Top 0.1-0.01% capital gains (b),Number of adults,Number of tax units,Number of tax units-married couples & single adults,Number of tax units-adults,Number of tax returns,Income control,Income control-break in 1999,Income control-including capital gains,Price index,Average income per tax unit,Average income per tax unit-married couples & single adults,Average income per tax unit-adults,Average income per tax unit-break in 1999/2000,Average income per tax unit-including capital gains,Average income per adult,Top 10% average income,Top 10% average income-LAD,Top 10% average income-married couples & single adults,Top 10% average income-adults,Top 5% average income,Top 5% average income-LAD,Top 5% average income-married couples & single adults,Top 5% average income-adults,Top 1% average income,Top 1% average income-LAD,Top 1% average income-married couples & single adults,Top 1% average income-adults,Top 0.5% average income,Top 0.5% average income-LAD,Top 0.5% average income-married couples & single adults,Top 0.5% average income-adults,Top 0.1% average income,Top 0.1% average income-LAD,Top 0.1% average income-married couples & single adults,Top 0.1% average income-adults,Top 0.01% average income,Top 0.01% average income-LAD,Top 0.01% average income-married couples & single adults,Top 0.01% average income-adults,Bottom 90% average income,Bottom 90% average income-LAD,Bottom 90% average income-married couples & single adults,Bottom 90% average income-adults,Top 0.25% average income,Top 0.15% average income,Top 0.05% average income,Top 10-5% average income,Top 10-5% average income-LAD,Top 10-5% average income-married couples & single adults,Top 10-5% average income-adults,Top 5-1% average income,Top 5-1% average income-LAD,Top 5-1% average income-married couples & single adults,Top 5-1% average income-adults,Top 1-0.5% average income,Top 1-0.5% average income-LAD,Top 1-0.5% average income-married couples & single adults,Top 1-0.5% average income-adults,Top 0.5-0.1% average income,Top 0.5-0.1% average income-LAD,Top 0.5-0.1% average income-married couples & single adults,Top 0.5-0.1% average income-adults,Top 0.1-0.01% average income,Top 0.1-0.01% average income-LAD,Top 0.1-0.01% average income-married couples & single adults,Top 0.1-0.01% average income-adults,Top 0.1-0.05% average income,Top 0.05-0.01% average income,P90 income threshold,P90 income threshold-LAD,P90 income threshold-married couples & single adults,P90 income threshold-adults,P95 income threshold,P95 income threshold-LAD,P95 income threshold-married couples & single adults,P95 income threshold-adults,P99 income threshold,P99 income threshold-LAD,P99 income threshold-married couples & single adults,P99 income threshold-adults,P99.5 income threshold,P99.5 income threshold-LAD,P99.5 income threshold-married couples & single adults,P99.5 income threshold-adults,P99.9 income threshold,P99.9 income threshold-LAD,P99.9 income threshold-married couples & single adults,P99.9 income threshold-adults,P99.99 income threshold,P99.99 income threshold-LAD,P99.99 income threshold-married couples & single adults,P99.99 income threshold-adults,P99.95 income threshold,Top 10% average income-including capital gains,Top 5% average income-including capital gains,Top 1% average income-including capital gains,Top 0.5% average income-including capital gains,Top 0.1% average income-including capital gains,Top 0.01% average income-including capital gains,Bottom 90% average income-including capital gains,Top 10-5% average income-including capital gains,Top 5-1% average income-including capital gains,Top 1-0.5% average income-including capital gains,Top 0.5-0.1% average income-including capital gains,Top 0.1-0.01% average income-including capital gains,P90 income threshold-including capital gains,P95 income threshold-including capital gains,P99 income threshold-including capital gains,P99.5 income threshold-including capital gains,P99.9 income threshold-including capital gains,P99.99 income threshold-including capital gains,Pareto-Lorenz coefficient,Inverted Pareto-Lorenz coefficient
Argentina,1932,,,,,,,,,,,,,18.77,,,,,,14.58,,,,7.52,,,,,,,2.49,,,,,,,,,,,,,,,4.19,,,,7.06,,,,,,,,,,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6372,6372,,,,4.31396E-010,,,1.02557E-014,6601.38,,,,,6601.38,,,,,,,,,123907.86,,,,192496.17,,,,496423.59,,,,1643742.99,,,,,,,,,,,,,,,,,,,55319.54,,,,116514.31,,,,368943.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.659,2.517
Argentina,1933,,,,,,,,,,,,,17.18,,,,,,13.35,,,,6.8,,,,,,,2.39,,,,,,,,,,,,,,,3.83,,,,6.55,,,,,,,,,,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6538,6538,,,,4.52638E-010,,,1.10938E-014,6240.6,,,,,6240.6,,,,,,,,,107213.46,,,,166623.94,,,,424360.6,,,,1491502.7,,,,,,,,,,,,,,,,,,,47802.97,,,,102189.78,,,,305789.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.674,2.484
Argentina,1934,,,,,,,,,,,,,18.06,,,,,,14.02,,,,7.28,,,,,,,2.45,,,,,,,,,,,,,,,4.04,,,,6.74,,,,,,,,,,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6708,6708,,,,4.30173E-010,,,1.02557E-014,6252.95,,,,,6252.95,,,,,,,,,112928.33,,,,175332.8,,,,455214.97,,,,1531973.45,,,,,,,,,,,,,,,,,,,50523.86,,,,105362.26,,,,335575.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.652,2.534
Argentina,1935,,,,,,,,,,,,,18.44,,,,,,14.32,,,,7.41,,,,,,,2.49,,,,,,,,,,,,,,,4.12,,,,6.91,,,,,,,,,,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6883,6883,,,,4.84074E-010,,,1.08683E-014,6471.02,,,,,6471.02,,,,,,,,,119325.63,,,,185330.04,,,,479502.65,,,,1611284.22,,,,,,,,,,,,,,,,,,,53321.21,,,,111786.89,,,,353749.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.655,2.526
Argentina,1936,,,,,,,,,,,,,20.4,,,,,,15.56,,,,7.76,,,,,,,2.46,,,,,,,,,,,,,,,4.84,,,,7.8,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7063,7063,,,,5.39431E-010,,,1.17883E-014,6478.78,,,,,6478.78,,,,,,,,,132167.16,,,,201619.7,,,,502753.5,,,,1593780.43,,,,,,,,,,,,,,,,,,,62714.61,,,,126336.25,,,,381528.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.723,2.382
Argentina,1937,,,,,,,,,,,,,20.44,,,,,,15.84,,,,8.11,,,,,,,2.6,,,,,,,,,,,,,,,4.6,,,,7.73,,,,,,,,,,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7247,7247,,,,5.57981E-010,,,1.20934E-014,6366.66,,,,,6366.66,,,,,,,,,130134.54,,,,201695.8,,,,516336.15,,,,1655331.67,,,,,,,,,,,,,,,,,,,58573.27,,,,123035.71,,,,389781.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.671,2.491
Argentina,1938,,,,,,,,,,,,,20.47,,,,,,15.83,,,,8.1,,,,,,,2.58,,,,,,,,,,,,,,,4.64,,,,7.73,,,,,,,,,,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7436,7436,,,,5.94794E-010,,,1.20202E-014,6654.49,,,,,6654.49,,,,,,,,,136217.46,,,,210681.24,,,,539013.9,,,,1716859.1,,,,,,,,,,,,,,,,,,,61753.69,,,,128598.07,,,,408142.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.674,2.484
Argentina,1939,,,,,,,,,,,,,20.88,,,,,,16.23,,,,8.34,,,,,,,2.72,,,,,,,,,,,,,,,4.65,,,,7.89,,,,,,,,,,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7630,7630,,,,6.0572E-010,,,1.22033E-014,6505.36,,,,,6505.36,,,,,,,,,135831.95,,,,211164.04,,,,542547.15,,,,1769458.34,,,,,,,,,,,,,,,,,,,60499.86,,,,128318.26,,,,406223.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.663,2.509
