ID	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	EVENT_VALIDITY	CAUSE_CODE	FOCAL_DEPTH	PRIMARY_MAGNITUDE	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	MAXIMUM_WATER_HEIGHT	ABE	IIDA	SOLOVIEV	WARNING_STATUS	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
1	-2000						1	1			SYRIA		SYRIAN COASTS	35.683	35.8	50				6			3						4						3						4				
3	-1410						4	6			GREECE		THERA ISLAND (SANTORINI)	36.4	25.4	50	90			6			3						3						3						3				
4	-1365						1	1			SYRIA		SYRIAN COASTS	35.683	35.8	50				6																					3				
5	-1300						2	0		6	TURKEY		IONIAN COASTS, TROAD	39.96	26.24	50				5																									
6	-760						2	0			ISRAEL		ISRAEL AND LEBANON COASTS			50				3																									
7	-590						2	1			LEBANON		LEBANON COASTS	33.27	35.22	50				6																									
8	-525						2	1			LEBANON		LEBANON COASTS	33.56	35.37	50				3																									
3469	-480	9	29				1	1			GREECE		SARONIC GULF	37.9	23.5	50																													
9	-479						2	1		7	GREECE		NORTH AEGEAN	39.7	23.3	50				3			3												3										
10	-426	6					4	1		7.1	GREECE		CORINTHOS-PATRAS GULF	38.9	22.7	50				5			3						2		2			2500	4						3		3		
11	-373						4	3		7.3	GREECE		CORINTHOS-PATRAS GULF	38.25	22.25	50				5			3						3		3				3						3		3		
12	-330						1	1		7	GREECE		E. SPORADES ISLANDS, AEGEAN ISLANDS	40	25	50																													
5282	-326	11					2	1			INDIA		KUTCH	23	71	60																													
3092	-227						2	1		7.2	GREECE		DODECANESE ISLANDS	36.3	28.3	50				3									1												1		1		
3471	-226						1	0			GREECE		SOUTH EVIOKOS GULF	38.6	23.3	50																													
3472	-223	10					1	1			GREECE		MALIAKOS GULF	38.809	22.784	50																													
5382	-218						1	1			SPAIN		CADIZ	36.2	-7.17	73																													
4281	-210						1	1			PORTUGAL		GULF OF CADIZ	36	-10.5	73																													
3473	-198						1	6			GREECE		THERA ISLAND (SANTORINI)	36.404	25.396	50																													
5481	-150						1	0			SRI LANKA		SRI LANKA			60																													
15	-138						2	0			ISRAEL		ISRAEL AND LEBANON COASTS			50				3			3												3										
4263	-60						1	1		6.7	PORTUGAL		CABO SAN VICENTE	36	-10	73																									3				
3714	-58						2	1		6.6	ALBANIA		ALBANIA	41.3	19.5	50				3																									
3794	-50						2	1			BULGARIA		BLACK SEA	43.5	28.5	40													2												2				
3728	-50						1	1		5.5	GEORGIA		BLACK SEA	43	41	40													2												2				
22	-47	9					1	0			CHINA		LAIZHOU BAY, BOHAI SEA	37.5	119.5	84																													
19	-23						3	0			EGYPT		ALEXANDRIA			50				3																									
21	46						4	6		6.2	GREECE		THERA ISLAND (SANTORINI)	36.404	25.396	50				3																									
23	62						2	1		6.9	GREECE		CRETE	35.2	25.1	50				3																									
26	76	6	20				1	1		6.3	CYPRUS		LEVANTIAN SEA	34.8	32	50				4																					3		3		
3093	79	8	24	7			3	4			ITALY		BAY OF NAPLES	40.821	14.426	50				4														3500	4										
4396	115	12	13				2	1		7.5	TURKEY		ANTAKYA (ANTIOCH)	36.1	36.1	50																													
3096	120						2	1		7.2	TURKEY		MARMARA SEA	40.77	29.92	50				2																									
3583	123						0	1		6.3	SOUTH KOREA		SEA OF JAPAN	35.8	129.2	84													1		2										1		2		
27	142						3	1		7	GREECE		DODECANESE ISLANDS	36.7	28	50				4									2																
29	173	6	28				3	1			CHINA		LAIZHOU BAY, BOHAI SEA	37.5	120	84			1	1																									
3097	177						2	1			ITALY		ISLAND OF SICILY	38	15	50				6									2												2				
3427	258						0	1			ITALY		TYRRHENIAN SEA	41.9	12.45	50				4																					3	1001	4		
31	262						1	1			TURKEY		SOUTH COASTS OF ASIA MINOR	36.6	30	50				4			3												3						2		3		
32	315						1	1			DEAD SEA		DEAD SEA	31.7	35.5	50				3																									
34	342						-1	1			CYPRUS ISLAND		CYPRUS			50																													
35	344						-1	1			TURKEY		MARMARA SEA, DARDANELLES	40.3	26.5	50																													
3474	346						1	1		6.8	ALBANIA		ADRIATIC SEA	41.4	19.4	50													1		1										2		3		
36	348						1	1		4.1	TURKEY		LEVANTIAN SEA	33.9	35.5	50				3																									
2314	358	8	24				1	1			TURKEY		MARMARA SEA	40.77	29.9	50																			3						3		3		
37	362	5	24				2	1			JORDAN		DEAD SEA	31.3	35.6	50				3									3												3				
38	365	7	21				4	1	70	8	GREECE		CRETE	35	23	50				4		5700	4						4		3			5700	4						4		3		
3475	368						2	1		6.4	TURKEY		MARMARA SEA	40.5	29.6	50																													
4273	382						1	1			PORTUGAL		CABO SAN VICENTE	36	-10.83	73																													
2315	407	4	1				1	1		6.6	TURKEY		MARMARA SEA	41	29	50				4									1												1				
39	416						2	6			INDONESIA		JAVA-S. JAVA	-6.102	105.423	60			2	3.5			3						4						3						4				
40	426						-1	1			GREECE		GULF OF EUBOEA			50																													
41	447	1	26				1	1		7.3	TURKEY		MARMARA SEA	40.9	28.5	50				4															3						3		3		
4294	450	1	26				1	1		7	TURKEY		MARMARA SEA	40.4	28.4	50																													
2317	478	9	25				3	1			TURKEY		MARMARA SEA	40.8	29.2	50																													
43	543						3	1		6.8	TURKEY		BLACK SEA	40.3	27.8	50				4			3						3						3						3				
46	551	4					4	3		7.1	GREECE		ETOLIA	38.4	22.3	50				4														4000	4										
47	551	7	9				1	1		7.8	TURKEY		LEVANTIAN SEA	40.8	29.9	50				3																									
3477	552	5					3	1		7.2	GREECE		MALIAKOS GULF	38.4	22.4	50																													
48	554	8	15				3	1		7	GREECE		ISLAND OF KOS	36.5	27.5	50				4																									
