,Name,Location,Type,Latitude,Longitude,Elevation (m)
0,Abu,Honshu-Japan,Shield Volcano,34.5,131.6,641.0
1,Acamarachi,Chile-N,Stratovolcano,-23.3,-67.62,6046.0
2,Acatenango,Guatemala,Stratovolcano,14.5,-90.88,3976.0
3,Acigöl-Nevsehir,Turkey,Caldera,38.57,34.52,1689.0
4,Adams,US-Washington,Stratovolcano,46.21,-121.49,3742.0
5,Adams  Seamount,Pacific-C,Submarine Volcano,-25.37,-129.27,-39.0
6,Adatara,Honshu-Japan,Stratovolcano,37.64,140.29,1718.0
7,Adwa,Ethiopia,Stratovolcano,10.07,40.84,1733.0
8,Afderà,Ethiopia,Stratovolcano,13.08,40.85,1295.0
9,Agrigan,Mariana Is-C Pacific,Stratovolcano,18.77,145.67,965.0
10,Agua,Guatemala,Stratovolcano,14.47,-90.74,3760.0
11,Agua de Pau,Azores,Stratovolcano,37.77,-25.47,947.0
12,Aguilera,Chile-S,Stratovolcano,-50.33,-73.75,2546.0
13,Agung,Lesser Sunda Is,Stratovolcano,-8.34,115.51,3142.0
14,Ahyi,Mariana Is-C Pacific,Submarine Volcano,20.42,145.03,-137.0
15,Akademia  Nauk,Kamchatka,Stratovolcano,53.98,159.45,1180.0
16,Akagi,Honshu-Japan,Stratovolcano,36.56,139.2,1828.0
17,Akan,Hokkaido-Japan,Caldera,43.38,144.01,1499.0
18,Akhtang,Kamchatka,Shield Volcano,55.43,158.65,1956.0
19,Akita-Komaga-take,Honshu-Japan,Stratovolcano,39.76,140.8,1637.0
20,Akita-Yake-yama,Honshu-Japan,Stratovolcano,39.96,140.76,1366.0
21,Akuseki-jima,Ryukyu Is,Stratovolcano,29.46,129.6,584.0
22,Akutan,Aleutian Is,Stratovolcano,54.13,-165.99,1303.0
23,Alaid,Kuril Is,Stratovolcano,50.86,155.55,2339.0
24,Alamagan,Mariana Is-C Pacific,Stratovolcano,17.6,145.83,744.0
25,Alayta,Ethiopia,Shield Volcano,12.88,40.57,1501.0
26,Alban Hills,Italy,Caldera,41.73,12.7,949.0
27,Alcedo,Galápagos,Shield Volcano,-0.43,-91.12,1130.0
28,Ale Bagu,Ethiopia,Stratovolcano,13.52,40.63,1031.0
29,Alid,Ethiopia,Stratovolcano,14.88,39.92,904.0
30,Alligator Lake,Canada,Volcanic Field,60.42,-135.42,2217.0
31,Almolonga,Guatemala,Stratovolcano,14.82,-91.48,3197.0
32,Alney-Chashakondzha,Kamchatka,Stratovolcano,56.7,159.65,2598.0
33,Alngey,Kamchatka,Stratovolcano,57.7,160.4,1853.0
34,Alu,Ethiopia,Fissure Vents,13.82,40.55,429.0
35,Alutu,Ethiopia,Stratovolcano,7.77,38.78,2335.0
36,Amak,Aleutian Is,Stratovolcano,55.42,-163.15,488.0
37,Amasing,Halmahera-Indonesia,Stratovolcano,-0.53,127.48,1030.0
38,Ambalatungan Group,Luzon-Philippines,Compound Volcano,17.32,121.1,2329.0
39,Ambang,Sulawesi-Indonesia,Complex Volcano,0.75,124.42,1795.0
40,Ambitle,New Ireland-SW Pacific,Stratovolcano,-4.08,153.65,450.0
41,Ambre-Bobaomby,Madagascar,Volcanic Field,-12.6,49.15,1475.0
42,Ambrym,Vanuatu-SW Pacific,Pyroclastic Shield,-16.25,168.12,1334.0
43,Amorong,Luzon-Philippines,Lava Domes,15.83,120.81,376.0
44,Amsterdam Island,Indian O.-S,Stratovolcano,-37.83,77.52,881.0
45,Amukta,Aleutian Is,Stratovolcano,52.5,-171.25,1066.0
46,Anatahan,Mariana Is-C Pacific,Stratovolcano,16.35,145.67,790.0
47,Anaun,Kamchatka,Stratovolcano,56.32,158.83,1828.0
48,Andahua-Orcopampa,Perú,Cinder Cone,-15.42,-72.33,4713.0
49,Andrus,Antarctica,Shield Volcano,-75.8,-132.33,2978.0
50,Aneityum,Vanuatu-SW Pacific,Stratovolcano,-20.2,169.78,852.0
51,Aniakchak,Alaska Peninsula,Caldera,56.88,-158.17,1341.0
