,Country,Rank,Web Index,Universal Access,Education and awareness,Access and Affordability,Communications Infrastructure,Relevant Content,Web use,Content creation,Freedom and Openness,Freedom of the Web,Impact and Empowerment,Political impact,Social and environmental,Economic impact
0,Argentina,36,55.2,47.1,45.9,67.9,47.2,71.5,82.8,56.1,52.2,52.2,39.8,49.7,47.2,33.4
1,Australia,11,86.4,82.4,75.8,94.5,74.6,92.6,91.4,86.5,67.7,67.7,74.3,88.0,71.1,68.2
2,Austria,14,84.8,85.9,93.5,89.4,72.8,82.2,81.3,77.7,78.6,78.6,66.4,89.3,47.1,69.8
3,Bahrain,50,38.4,53.1,57.2,71.8,46.7,59.3,71.9,44.8,13.6,13.6,28.9,48.3,15.2,37.1
4,Bangladesh,64,24.4,25.1,38.1,38.8,35.3,24.4,15.0,40.2,40.3,40.3,16.4,28.3,21.0,15.8
5,Belgium,20,75.2,78.7,72.7,78.2,88.0,72.3,70.4,70.8,73.7,73.7,56.2,87.1,40.0,52.5
6,Benin,70,16.1,2.5,11.3,29.0,16.0,7.8,0.0,25.1,59.9,59.9,6.5,5.5,12.6,16.3
7,Botswana,68,17.4,27.7,19.9,50.1,45.1,5.8,6.4,14.5,49.8,49.8,1.6,0.6,0.0,19.6
8,Brazil,33,58.7,49.6,57.2,62.2,49.7,57.1,49.9,64.4,63.1,63.1,51.9,63.4,65.0,36.8
9,Burkina Faso,73,13.6,4.8,5.7,30.3,25.6,7.0,5.1,18.2,45.6,45.6,10.2,16.6,22.0,8.5
10,Cameroon,76,10.6,8.3,9.9,32.8,27.2,6.6,8.2,14.0,29.6,29.6,13.0,7.6,19.8,24.4
11,Canada,15,84.3,79.4,82.2,81.2,77.2,87.8,85.1,84.2,72.7,72.7,70.0,78.0,69.1,67.1
12,Chile,27,68.9,57.6,61.0,68.5,58.4,76.6,72.9,76.3,74.0,74.0,49.2,65.6,49.6,42.6
13,China,57,31.1,45.5,40.3,63.7,53.6,46.8,52.5,42.2,5.3,5.3,31.2,21.8,38.2,41.7
14,Colombia,32,60.1,54.2,76.4,59.9,45.9,63.2,65.8,58.7,56.4,56.4,52.6,82.7,52.4,35.4
15,Costa Rica,34,57.2,40.5,48.2,55.8,43.3,58.4,59.6,56.3,72.7,72.7,44.8,54.9,51.2,38.3
16,Czech Republic,24,72.5,74.3,86.1,77.8,64.9,61.7,66.6,54.9,78.4,78.4,56.9,62.6,59.3,55.1
17,Denmark,6,92.4,96.0,91.6,89.7,99.2,89.8,93.6,78.9,84.8,84.8,69.4,87.4,60.7,66.0
18,Ecuador,43,43.9,42.2,36.5,64.4,48.0,50.8,58.0,43.7,46.7,46.7,32.8,26.2,45.9,35.4
19,Egypt,63,24.5,32.3,31.7,49.9,45.5,32.0,42.6,24.9,28.3,28.3,14.9,46.2,17.0,2.0
20,Estonia,18,77.3,75.3,84.9,79.5,66.4,67.0,63.6,68.3,80.3,80.3,64.2,85.5,53.9,60.8
21,Ethiopia,80,1.8,0.0,4.5,27.0,18.7,5.4,19.1,0.0,12.9,12.9,8.5,11.6,15.6,14.1
22,Finland,7,91.9,85.9,86.1,88.7,80.6,84.2,82.6,80.2,95.1,95.1,71.7,87.0,54.9,77.5
23,France,9,90.9,82.3,88.2,89.4,68.9,88.9,74.9,97.3,86.9,86.9,74.4,88.8,74.4,64.6
