artists,track,title,channel_id
,,"""Something"" (The Beatles) Ukulele Play-Along!",UCDglnz22aXMzpug5HbD1bCA
,,Arthur Theme Song Ukulele Play-Along!,UCDglnz22aXMzpug5HbD1bCA
,,Feliz Navidad Ukulele Play Along Accompaniment,UCievmB8BzAl_BvortDcjf3w
,,"""Black Magic Woman"" (Santana) Ukulele Play-Along!",UCDglnz22aXMzpug5HbD1bCA
,,"""I Kona"" (Hawaiian) Ukulele Play-Along!",UCDglnz22aXMzpug5HbD1bCA
,,Havana // Cynthia Lin Ukulele Tutorial,UCD2q6i-C0ZLJUK-VCp49TJA
,,"""Faith"" (George Michael) Ukulele Play-Along!",UCDglnz22aXMzpug5HbD1bCA
,,"""Super Mario Bros."" (Nintendo Theme) Ukulele Play-Along!",UCDglnz22aXMzpug5HbD1bCA
,,"""Dancing In the Moonlight"" (King Harvest) Ukulele Play-Along!",UCDglnz22aXMzpug5HbD1bCA
,,"""White Sandy Beach of Hawaii"" (Braddah IZ) Ukulele Play-Along!",UCDglnz22aXMzpug5HbD1bCA
,What Will We Do With a Drunken Sailor,What Will We Do With a Drunken Sailor,UC6jZYLoYuV1CxY4Stzm6mgg
,,"""Your Man"" (Josh Turner) Ukulele Play Along!",UCDglnz22aXMzpug5HbD1bCA
,,"""Last Christmas"" (Wham!) Ukulele Play Along!",UCDglnz22aXMzpug5HbD1bCA
,,"""Crazy Without You"" (Pure Heart) Ukulele Play Along!",UCDglnz22aXMzpug5HbD1bCA
,Frere Jacques,Frere Jacques,UCZjDV_1UEbVsAQA_q9tyTWw
,,"""What's Up?"" (4 Non Blondes) Ukulele Play Along!",UCDglnz22aXMzpug5HbD1bCA
,,"""Tropical Hawaiian Day"" (Ka'au Crater Boys) Ukulele Play Along!",UCDglnz22aXMzpug5HbD1bCA
,,"""Lucy in the Sky with Diamonds"" (The Beatles) Ukulele Play-Along!",UCDglnz22aXMzpug5HbD1bCA
Bob Marley,Waiting In Vain,"""Waiting In Vain"" (Bob Marley) Ukulele Play-Along!",UCDglnz22aXMzpug5HbD1bCA
,,"""I Hear Music"" (Ka'au Crater Boys) Ukulele Play-Along!",UCDglnz22aXMzpug5HbD1bCA
,,Lava Ukulele Play-along // Cynthia Lin (Chords + Lyrics),UCD2q6i-C0ZLJUK-VCp49TJA
Weezer,Island In The Sun,"""Island In The Sun"" Ukulele Play-Along!",UCbQn9nS2_W-dsmnr3h_Rpvg
,,Build Me Up Buttercup The Foundations C E7 F G A Bb C Dm D7,UCVEf77ZgeEhT1gqyvGXd4Ig
